time,Roll,Pitch,Yaw
17:39:04.289,-97.58,5.07,-1.0
17:39:04.410,-91.32,5.88,-1.0
17:39:04.500,-91.52,7.88,-8.0
17:39:04.655,-103.73,6.26,
17:39:04.709,-107.55,5.11,
17:39:04.802,-103.66,6.24,
17:39:04.924,-103.22,7.72,
17:39:05.010,-103.52,8.42,
17:39:05.101,-101.47,8.89,1.0
17:39:05.194,-103.29,8.85,
17:39:05.280,-105.38,8.53,
17:39:05.374,-108.54,8.23,
17:39:05.491,-106.01,8.7,
17:39:05.612,-108.3,8.3,1.0
17:39:05.698,-109.57,7.34,0.0
17:39:05.790,-106.31,7.66,
17:39:05.912,-105.26,6.54,
17:39:05.970,-105.62,6.87,
17:39:06.059,-101.68,6.87,
17:39:06.184,-94.34,9.1,2.0
17:39:06.269,-86.91,10.01,
17:39:06.480,-82.74,9.12,-8.0
17:39:06.574,11.33,0.57,-10.0
17:39:06.694,-156.15,-5.14,
17:39:06.783,-25.99,-0.35,
17:39:06.990,-155.28,2.26,2.0
17:39:07.052,-150.96,-2.63,
17:39:07.173,-147.49,0.39,0.0
17:39:07.261,-150.43,-2.22,
17:39:07.354,-145.35,-4.56,
17:39:07.471,-139.19,2.94,4.0
17:39:07.562,-135.29,4.8,5.0
17:39:07.681,-112.15,-4.23,
17:39:08.671,-123.31,-9.7,
17:39:08.792,-118.62,-4.74,
17:39:08.850,-122.47,-2.17,
17:39:08.943,-123.25,-0.81,
17:39:09.031,-118.0,2.42,
17:39:09.120,-123.87,3.6,
17:39:09.245,-123.84,4.32,
17:39:09.361,-128.05,3.37,
17:39:09.421,-132.08,0.78,
17:39:09.602,-130.43,2.38,
17:39:09.628,-127.22,5.52,
17:39:09.723,-129.65,4.53,
17:39:09.844,-132.38,2.69,
17:39:09.932,-134.12,3.16,
17:39:10.019,-133.59,2.34,
17:39:10.111,-132.28,3.27,
17:39:10.235,-133.1,3.48,
17:39:10.321,-132.75,3.45,
17:39:10.412,-132.3,3.08,
17:39:10.502,-131.61,3.88,
17:39:10.622,-131.86,3.41,
17:39:10.711,-133.76,1.71,
17:39:10.833,-132.1,2.75,
17:39:10.957,-129.81,3.8,
17:39:11.010,-132.11,2.55,
17:39:11.134,-131.19,2.13,
17:39:11.222,-132.2,0.3,
17:39:11.312,-133.78,-1.07,
17:39:11.459,-131.59,0.9,
17:39:11.487,-131.49,1.81,
17:39:11.579,-131.0,1.76,
17:39:11.699,-131.46,1.41,
17:39:11.788,-131.02,1.08,
17:39:11.908,-130.04,1.95,
17:39:12.002,-129.6,1.76,
17:39:12.089,-130.57,0.39,
17:39:12.215,-128.91,1.33,
17:39:12.328,-127.8,1.23,
17:39:12.418,-129.39,-1.21,
17:39:12.538,-128.27,-0.43,
17:39:12.569,-127.82,0.27,
17:39:12.658,-120.09,4.26,
17:39:12.808,-57.58,10.63,
17:39:12.870,-110.81,8.56,0.0
17:39:13.257,-128.54,8.19,
17:39:13.377,-30.27,3.57,-2.0
17:39:13.469,27.01,20.51,-2.0
17:39:13.679,-179.84,7.39,
17:39:13.769,-143.77,2.76,
17:39:13.890,-137.71,-0.07,
17:39:14.071,-137.86,0.41,
17:39:14.098,-136.43,2.11,
17:39:14.158,-101.19,17.48,
17:39:14.247,-101.96,11.41,
17:39:14.399,-246.27,15.34,
