time,Roll,Pitch,Yaw
16:26:10.587,1.43,79.59,120.0
16:26:10.611,1.48,79.57,120.0
16:26:10.671,1.24,79.59,119.0
16:26:10.672,0.71,79.57,119.0
16:26:10.763,0.79,79.52,119.0
16:26:10.763,0.45,79.46,119.0
16:26:10.764,-0.03,79.46,11.0
16:26:10.855,0.15,79.42,118.0
16:26:10.855,0.33,79.4,118.0
16:26:10.882,0.68,79.44,119.0
16:26:10.912,1.27,79.44,119.0
16:26:10.942,1.85,79.44,120.0
16:26:11.127,1.65,79.41,120.0
16:26:11.128,1.48,79.33,120.0
16:26:11.214,0.96,79.22,119.0
16:26:11.215,0.67,79.21,119.0
16:26:11.215,0.5,79.3,119.0
16:26:11.242,0.47,79.36,119.0
16:26:11.272,0.85,79.49,119.0
16:26:11.302,0.75,79.44,119.0
16:26:11.364,0.9,79.43,119.0
16:26:11.365,1.17,79.48,119.0
16:26:11.392,0.95,79.45,119.0
16:26:11.484,0.74,79.42,119.0
16:26:11.484,1.08,79.38,119.0
16:26:11.514,0.79,79.33,119.0
16:26:11.604,0.5,79.28,118.0
16:26:11.604,0.78,79.31,119.0
16:26:11.604,0.66,79.3,119.0
16:26:11.631,0.29,79.34,118.0
16:26:11.661,0.46,79.41,118.0
16:26:11.692,0.57,79.41,118.0
16:26:11.781,0.35,79.4,118.0
16:26:11.782,0.45,79.35,118.0
16:26:11.872,0.58,79.35,118.0
16:26:11.873,0.51,79.3,118.0
16:26:11.874,0.86,79.33,119.0
16:26:11.901,0.91,79.31,119.0
16:26:11.933,1.03,79.34,119.0
16:26:11.992,1.3,79.38,119.0
16:26:12.022,1.36,79.37,119.0
16:26:12.054,1.06,79.34,119.0
16:26:12.082,0.64,79.34,118.0
16:26:12.266,0.22,79.29,118.0
16:26:12.292,-0.38,79.19,11.0
16:26:12.292,-0.38,79.16,11.0
16:26:12.292,-0.8,79.13,11.0
16:26:12.294,-0.46,79.16,11.0
16:26:12.324,-0.11,79.2,11.0
16:26:12.352,-0.53,79.2,11.0
16:26:12.476,-0.23,79.23,11.0
16:26:12.477,0.03,79.24,118.0
16:26:12.478,-0.54,79.24,11.0
16:26:12.478,-0.8,79.28,11.0
16:26:12.625,-0.67,79.35,11.0
16:26:12.651,-0.7,79.43,11.0
16:26:12.652,-0.49,79.47,11.0
16:26:12.653,0.16,79.52,118.0
16:26:12.653,0.28,79.49,118.0
16:26:12.778,0.82,79.46,119.0
16:26:12.778,1.18,79.38,119.0
16:26:12.778,1.56,79.31,120.0
16:26:12.832,1.54,79.23,120.0
16:26:12.863,1.74,79.2,120.0
16:26:12.863,1.51,79.21,120.0
16:26:12.892,1.49,79.18,120.0
