time,Roll,Pitch,Yaw,TimeSec,dRoll,dPitch,dYaw,dTime,Speed,Running
17:46:00.179,9.19,13.54,-3.0,63960.179,,,,,,False
17:46:00.303,39.82,1.67,-20.0,63960.303,30.630000000000003,-11.87,-17.0,0.12400000000343425,298.2883227889438,False
17:46:00.479,5.65,5.14,-5.0,63960.479,-34.17,3.4699999999999998,15.0,0.17599999999947613,212.94540402000968,False
17:46:00.605,-128.79,7.48,5.0,63960.605,-134.44,2.3400000000000007,10.0,0.1260000000038417,1070.0929122969003,False
17:46:00.695,-133.41,1.82,5.0,63960.695,-4.6200000000000045,-5.66,0.0,0.08999999999650754,81.17957537029613,False
17:46:00.899,-55.48,11.55,2.0,63960.899,77.93,9.73,-3.0,0.20399999999790452,385.2566276766108,False
17:46:00.993,-31.35,6.95,25.0,63960.993,24.129999999999995,-4.6000000000000005,23.0,0.0940000000045984,357.993645145869,False
17:46:01.470,-9.01,-1.44,-1.0,63961.47,22.340000000000003,-8.39,-26.0,0.47699999999895226,73.9857116388304,False
17:46:01.769,1.59,10.14,-1.0,63961.769,10.6,11.58,0.0,0.2989999999990687,52.50478227386629,False
17:46:01.979,-132.43,3.46,4.0,63961.979,-134.02,-6.680000000000001,5.0,0.20999999999912689,639.4261670690773,False
17:46:02.249,-46.82,12.88,2.0,63962.249,85.61000000000001,9.420000000000002,-2.0,0.27000000000407454,319.0737731297564,False
17:46:02.339,92.74,15.17,42.0,63962.339,139.56,2.289999999999999,40.0,0.08999999999650754,1613.3026359811506,False
17:46:03.455,-143.77,0.35,5.0,63963.455,-236.51,-14.82,-37.0,1.1160000000018044,214.91485302300856,False
17:46:03.543,-67.98,14.41,2.0,63963.543,75.79,14.06,-3.0,0.08799999999610009,876.6077098856251,False
17:46:03.661,-37.87,3.75,23.0,63963.661,30.110000000000007,-10.66,21.0,0.11800000000221189,323.95143866412326,False
17:46:04.109,-29.61,3.98,-2.0,63964.109,8.259999999999998,0.22999999999999998,-25.0,0.44799999999668216,58.77281312571827,False
17:46:04.411,-11.57,9.75,-1.0,63964.411,18.04,5.77,1.0,0.30200000000331784,62.80353685766868,False
17:46:04.831,-38.82,16.21,9.0,63964.831,-27.25,6.460000000000001,10.0,0.41999999999825377,70.8025783575888,False
17:46:04.919,-14.5,5.73,24.0,63964.919,24.32,-10.48,15.0,0.08800000000337604,345.85294011930756,False
17:46:05.495,18.77,7.38,-14.0,63965.495,33.269999999999996,1.6499999999999995,-38.0,0.5760000000009313,87.73144063614787,False
17:46:05.999,-145.55,8.44,8.0,63965.999,-164.32000000000002,1.0599999999999996,22.0,0.5040000000008149,328.9475863263244,False
17:46:06.119,-135.06,9.75,1.0,63966.119,10.490000000000009,1.3100000000000005,-7.0,0.11999999999534339,105.65805696143777,False
