timestamp,device,roll,pitch,yaw,speed
2025-07-11T12:24:05.427,Rev_2,7.18,-0.34,0.72,0.0001
2025-07-11T12:24:05.519,Rev_2,7.19,-0.34,0.93,0.0029
2025-07-11T12:24:05.668,Rev_2,7.19,-0.34,0.8,0.0029
2025-07-11T12:24:05.728,Rev_2,7.24,-0.34,0.95,0.0001
2025-07-11T12:24:05.848,Rev_2,7.28,-0.34,0.91,0.0001
2025-07-11T12:24:05.940,Rev_2,7.32,-0.35,0.78,0.0001
2025-07-11T12:24:06.029,Rev_2,7.36,-0.35,0.7,0.0001
2025-07-11T12:24:06.152,Rev_2,7.4,-0.35,0.82,0.0001
2025-07-11T12:24:06.237,Rev_2,7.42,-0.35,0.56,0.0001
2025-07-11T12:24:06.356,Rev_2,7.46,-0.39,0.22,0.0029
2025-07-11T12:24:06.479,Rev_2,7.43,-0.35,0.21,0.0069
2025-07-11T12:24:06.567,Rev_2,7.41,-0.34,0.34,-0.0039
2025-07-11T12:24:06.626,Rev_2,7.49,-0.39,0.31,0.0001
2025-07-11T12:24:06.747,Rev_2,7.48,-0.36,0.15,0.0069
2025-07-11T12:24:06.957,Rev_2,9.82,1.92,0.94,0.3499
2025-07-11T12:24:07.199,Rev_2,12.26,9.44,1.12,0.0641
2025-07-11T12:24:07.436,Rev_2,14.51,14.22,-0.36,1.2205
2025-07-11T12:24:07.557,Rev_2,11.8,13.88,-2.74,0.3044
2025-07-11T12:24:07.737,Rev_2,2.81,21.5,0.22,-0.0516
2025-07-11T12:24:07.919,Rev_2,1.36,41.75,-2.33,1.0485
2025-07-11T12:24:08.760,Rev_2,2.31,54.6,-0.12,0.7865
2025-07-11T12:24:09.058,Rev_2,-2.18,51.2,1.23,0.7312
2025-07-11T12:24:09.385,Rev_2,0.64,67.11,2.36,0.455
2025-07-11T12:24:09.658,Rev_2,-6.2,56.46,11.86,1.059
2025-07-11T12:24:10.046,Rev_2,-4.47,61.32,9.7,0.4363
2025-07-11T12:24:10.886,Rev_2,-6.34,68.37,21.65,0.6323
2025-07-11T12:24:11.009,Rev_2,-7.43,68.77,15.13,0.7103
2025-07-11T12:24:11.307,Rev_2,-12.76,80.52,21.72,0.1553
2025-07-11T12:24:11.787,Rev_2,-16.9,73.18,24.4,0.2259
2025-07-11T12:24:11.968,Rev_2,-15.64,71.78,26.61,0.0384
2025-07-11T12:24:12.087,Rev_2,-17.13,68.22,28.62,-0.012
2025-07-11T12:24:12.267,Rev_2,-18.07,65.67,29.85,-0.0634
2025-07-11T12:24:12.327,Rev_2,-18.63,63.59,31.59,0.0291
2025-07-11T12:24:12.446,Rev_2,-19.25,61.56,32.41,0.0165
2025-07-11T12:24:12.507,Rev_2,-19.72,60.14,32.75,-0.0186
2025-07-11T12:24:12.626,Rev_2,-19.67,58.14,32.98,-0.0578
2025-07-11T12:24:12.687,Rev_2,-20.72,55.47,33.62,0.049
